price_date,gold_type_id,price_per_gram
2024-01-01,1,179600.0
2024-01-01,2,164500.0
2024-01-01,3,134700.0
2024-01-01,4,105100.0
2024-01-02,1,179700.0
2024-01-02,2,164600.0
2024-01-02,3,134800.0
2024-01-02,4,105100.0
2024-01-03,1,180500.0
2024-01-03,2,165400.0
2024-01-03,3,135400.0
2024-01-03,4,105600.0
2024-01-04,1,180100.0
2024-01-04,2,164900.0
2024-01-04,3,135100.0
2024-01-04,4,105300.0
2024-01-05,1,180900.0
2024-01-05,2,165700.0
2024-01-05,3,135700.0
2024-01-05,4,105800.0
2024-01-06,1,181100.0
2024-01-06,2,165800.0
2024-01-06,3,135800.0
2024-01-06,4,105900.0
2024-01-07,1,180300.0
2024-01-07,2,165200.0
2024-01-07,3,135300.0
2024-01-07,4,105500.0
2024-01-08,1,179700.0
2024-01-08,2,164600.0
2024-01-08,3,134800.0
2024-01-08,4,105100.0
2024-01-09,1,180100.0
2024-01-09,2,165000.0
2024-01-09,3,135100.0
2024-01-09,4,105400.0
2024-01-10,1,180600.0
2024-01-10,2,165400.0
2024-01-10,3,135500.0
2024-01-10,4,105700.0
2024-01-11,1,181300.0
2024-01-11,2,166100.0
2024-01-11,3,136000.0
2024-01-11,4,106100.0
2024-01-12,1,181300.0
2024-01-12,2,166000.0
2024-01-12,3,136000.0
2024-01-12,4,106000.0
2024-01-13,1,180700.0
2024-01-13,2,165500.0
2024-01-13,3,135500.0
2024-01-13,4,105700.0
2024-01-14,1,180900.0
2024-01-14,2,165700.0
2024-01-14,3,135700.0
2024-01-14,4,105800.0
2024-01-15,1,181300.0
2024-01-15,2,166100.0
2024-01-15,3,136000.0
2024-01-15,4,106100.0
2024-01-16,1,182200.0
2024-01-16,2,166900.0
2024-01-16,3,136600.0
2024-01-16,4,106600.0
2024-01-17,1,182700.0
2024-01-17,2,167400.0
2024-01-17,3,137000.0
2024-01-17,4,106900.0
2024-01-18,1,183000.0
2024-01-18,2,167700.0
2024-01-18,3,137300.0
2024-01-18,4,107100.0
2024-01-19,1,183800.0
2024-01-19,2,168400.0
2024-01-19,3,137900.0
2024-01-19,4,107600.0
2024-01-20,1,184300.0
2024-01-20,2,168900.0
2024-01-20,3,138300.0
2024-01-20,4,107800.0
2024-01-21,1,183900.0
2024-01-21,2,168400.0
2024-01-21,3,137900.0
2024-01-21,4,107600.0
2024-01-22,1,183900.0
2024-01-22,2,168400.0
2024-01-22,3,137900.0
2024-01-22,4,107600.0
2024-01-23,1,183700.0
2024-01-23,2,168300.0
2024-01-23,3,137800.0
2024-01-23,4,107500.0
2024-01-24,1,183100.0
2024-01-24,2,167700.0
2024-01-24,3,137300.0
2024-01-24,4,107100.0
2024-01-25,1,182500.0
2024-01-25,2,167100.0
2024-01-25,3,136900.0
2024-01-25,4,106700.0
2024-01-26,1,183000.0
2024-01-26,2,167700.0
2024-01-26,3,137300.0
2024-01-26,4,107100.0
2024-01-27,1,183200.0
2024-01-27,2,167800.0
2024-01-27,3,137400.0
2024-01-27,4,107200.0
2024-01-28,1,183400.0
2024-01-28,2,168000.0
2024-01-28,3,137600.0
2024-01-28,4,107300.0
2024-01-29,1,183100.0
2024-01-29,2,167700.0
2024-01-29,3,137300.0
2024-01-29,4,107100.0
2024-01-30,1,182800.0
2024-01-30,2,167400.0
2024-01-30,3,137100.0
2024-01-30,4,106900.0
2024-01-31,1,182700.0
2024-01-31,2,167300.0
2024-01-31,3,137000.0
2024-01-31,4,106900.0
2024-02-01,1,183000.0
2024-02-01,2,167600.0
2024-02-01,3,137200.0
2024-02-01,4,107100.0
2024-02-02,1,183000.0
2024-02-02,2,167600.0
2024-02-02,3,137200.0
2024-02-02,4,107000.0
2024-02-03,1,182300.0
2024-02-03,2,167000.0
2024-02-03,3,136700.0
2024-02-03,4,106600.0
2024-02-04,1,182600.0
2024-02-04,2,167300.0
2024-02-04,3,137000.0
2024-02-04,4,106800.0
2024-02-05,1,182800.0
2024-02-05,2,167400.0
2024-02-05,3,137100.0
2024-02-05,4,106900.0
2024-02-06,1,183100.0
2024-02-06,2,167700.0
2024-02-06,3,137300.0
2024-02-06,4,107100.0
2024-02-07,1,183400.0
2024-02-07,2,168000.0
2024-02-07,3,137600.0
2024-02-07,4,107300.0
2024-02-08,1,183900.0
2024-02-08,2,168500.0
2024-02-08,3,137900.0
2024-02-08,4,107600.0
2024-02-09,1,184200.0
2024-02-09,2,168700.0
2024-02-09,3,138100.0
2024-02-09,4,107700.0
2024-02-10,1,184600.0
2024-02-10,2,169100.0
2024-02-10,3,138400.0
2024-02-10,4,108000.0
2024-02-11,1,184000.0
2024-02-11,2,168500.0
2024-02-11,3,138000.0
2024-02-11,4,107600.0
2024-02-12,1,184800.0
2024-02-12,2,169200.0
2024-02-12,3,138600.0
2024-02-12,4,108100.0
2024-02-13,1,184200.0
2024-02-13,2,168700.0
2024-02-13,3,138200.0
2024-02-13,4,107800.0
2024-02-14,1,184800.0
2024-02-14,2,169200.0
2024-02-14,3,138600.0
2024-02-14,4,108100.0
2024-02-15,1,184500.0
2024-02-15,2,169000.0
2024-02-15,3,138400.0
2024-02-15,4,108000.0
2024-02-16,1,183900.0
2024-02-16,2,168500.0
2024-02-16,3,138000.0
2024-02-16,4,107600.0
2024-02-17,1,184500.0
2024-02-17,2,169000.0
2024-02-17,3,138400.0
2024-02-17,4,107900.0
2024-02-18,1,184500.0
2024-02-18,2,169000.0
2024-02-18,3,138300.0
2024-02-18,4,107900.0
2024-02-19,1,184400.0
2024-02-19,2,168900.0
2024-02-19,3,138300.0
2024-02-19,4,107900.0
2024-02-20,1,184700.0
2024-02-20,2,169200.0
2024-02-20,3,138500.0
2024-02-20,4,108100.0
2024-02-21,1,184800.0
2024-02-21,2,169300.0
2024-02-21,3,138600.0
2024-02-21,4,108100.0
2024-02-22,1,184900.0
2024-02-22,2,169400.0
2024-02-22,3,138700.0
2024-02-22,4,108200.0
2024-02-23,1,184400.0
2024-02-23,2,168900.0
2024-02-23,3,138300.0
2024-02-23,4,107900.0
2024-02-24,1,184300.0
2024-02-24,2,168800.0
2024-02-24,3,138200.0
2024-02-24,4,107800.0
2024-02-25,1,184900.0
2024-02-25,2,169400.0
2024-02-25,3,138700.0
2024-02-25,4,108200.0
2024-02-26,1,185100.0
2024-02-26,2,169500.0
2024-02-26,3,138800.0
2024-02-26,4,108300.0
2024-02-27,1,185900.0
2024-02-27,2,170300.0
2024-02-27,3,139500.0
2024-02-27,4,108800.0
2024-02-28,1,185400.0
2024-02-28,2,169900.0
2024-02-28,3,139100.0
2024-02-28,4,108500.0
2024-02-29,1,185800.0
2024-02-29,2,170200.0
2024-02-29,3,139400.0
2024-02-29,4,108700.0
2024-03-01,1,186600.0
2024-03-01,2,170900.0
2024-03-01,3,140000.0
2024-03-01,4,109200.0
2024-03-02,1,187200.0
2024-03-02,2,171500.0
2024-03-02,3,140400.0
2024-03-02,4,109500.0
2024-03-03,1,187700.0
2024-03-03,2,171900.0
2024-03-03,3,140800.0
2024-03-03,4,109800.0
2024-03-04,1,187600.0
2024-03-04,2,171800.0
2024-03-04,3,140700.0
2024-03-04,4,109700.0
2024-03-05,1,188400.0
2024-03-05,2,172600.0
2024-03-05,3,141300.0
2024-03-05,4,110200.0
2024-03-06,1,188600.0
2024-03-06,2,172800.0
2024-03-06,3,141400.0
2024-03-06,4,110300.0
2024-03-07,1,188800.0
2024-03-07,2,172900.0
2024-03-07,3,141600.0
2024-03-07,4,110400.0
2024-03-08,1,188200.0
2024-03-08,2,172400.0
2024-03-08,3,141200.0
2024-03-08,4,110100.0
2024-03-09,1,187500.0
2024-03-09,2,171700.0
2024-03-09,3,140600.0
2024-03-09,4,109700.0
2024-03-10,1,187800.0
2024-03-10,2,172000.0
2024-03-10,3,140800.0
2024-03-10,4,109800.0
2024-03-11,1,187900.0
2024-03-11,2,172100.0
2024-03-11,3,140900.0
2024-03-11,4,109900.0
2024-03-12,1,188800.0
2024-03-12,2,172900.0
2024-03-12,3,141600.0
2024-03-12,4,110400.0
2024-03-13,1,188500.0
2024-03-13,2,172700.0
2024-03-13,3,141400.0
2024-03-13,4,110300.0
2024-03-14,1,189000.0
2024-03-14,2,173200.0
2024-03-14,3,141800.0
2024-03-14,4,110600.0
2024-03-15,1,189800.0
2024-03-15,2,173900.0
2024-03-15,3,142400.0
2024-03-15,4,111000.0
2024-03-16,1,189600.0
2024-03-16,2,173700.0
2024-03-16,3,142200.0
2024-03-16,4,110900.0
2024-03-17,1,189600.0
2024-03-17,2,173700.0
2024-03-17,3,142200.0
2024-03-17,4,110900.0
2024-03-18,1,189900.0
2024-03-18,2,174000.0
2024-03-18,3,142500.0
2024-03-18,4,111100.0
2024-03-19,1,190100.0
2024-03-19,2,174100.0
2024-03-19,3,142500.0
2024-03-19,4,111200.0
2024-03-20,1,189600.0
2024-03-20,2,173600.0
2024-03-20,3,142200.0
2024-03-20,4,110900.0
2024-03-21,1,189200.0
2024-03-21,2,173300.0
2024-03-21,3,141900.0
2024-03-21,4,110700.0
2024-03-22,1,189900.0
2024-03-22,2,173900.0
2024-03-22,3,142400.0
2024-03-22,4,111100.0
2024-03-23,1,189400.0
2024-03-23,2,173500.0
2024-03-23,3,142100.0
2024-03-23,4,110800.0
2024-03-24,1,189000.0
2024-03-24,2,173100.0
2024-03-24,3,141700.0
2024-03-24,4,110600.0
2024-03-25,1,189600.0
2024-03-25,2,173700.0
2024-03-25,3,142200.0
2024-03-25,4,110900.0
2024-03-26,1,190300.0
2024-03-26,2,174300.0
2024-03-26,3,142700.0
2024-03-26,4,111300.0
2024-03-27,1,191000.0
2024-03-27,2,174900.0
2024-03-27,3,143200.0
2024-03-27,4,111700.0
2024-03-28,1,191800.0
2024-03-28,2,175700.0
2024-03-28,3,143900.0
2024-03-28,4,112200.0
2024-03-29,1,192800.0
2024-03-29,2,176600.0
2024-03-29,3,144600.0
2024-03-29,4,112800.0
2024-03-30,1,192800.0
2024-03-30,2,176600.0
2024-03-30,3,144600.0
2024-03-30,4,112800.0
2024-03-31,1,193000.0
2024-03-31,2,176800.0
2024-03-31,3,144700.0
2024-03-31,4,112900.0
2024-04-01,1,192700.0
2024-04-01,2,176500.0
2024-04-01,3,144500.0
2024-04-01,4,112700.0
2024-04-02,1,192100.0
2024-04-02,2,175900.0
2024-04-02,3,144000.0
2024-04-02,4,112300.0
2024-04-03,1,191500.0
2024-04-03,2,175400.0
2024-04-03,3,143600.0
2024-04-03,4,112000.0
2024-04-04,1,191900.0
2024-04-04,2,175800.0
2024-04-04,3,144000.0
2024-04-04,4,112300.0
2024-04-05,1,192000.0
2024-04-05,2,175900.0
2024-04-05,3,144000.0
2024-04-05,4,112300.0
2024-04-06,1,191800.0
2024-04-06,2,175700.0
2024-04-06,3,143900.0
2024-04-06,4,112200.0
2024-04-07,1,191300.0
2024-04-07,2,175200.0
2024-04-07,3,143500.0
2024-04-07,4,111900.0
2024-04-08,1,191600.0
2024-04-08,2,175500.0
2024-04-08,3,143700.0
2024-04-08,4,112100.0
2024-04-09,1,191000.0
2024-04-09,2,175000.0
2024-04-09,3,143300.0
2024-04-09,4,111800.0
2024-04-10,1,191300.0
2024-04-10,2,175300.0
2024-04-10,3,143500.0
2024-04-10,4,111900.0
2024-04-11,1,192100.0
2024-04-11,2,176000.0
2024-04-11,3,144100.0
2024-04-11,4,112400.0
2024-04-12,1,191900.0
2024-04-12,2,175800.0
2024-04-12,3,143900.0
2024-04-12,4,112300.0
2024-04-13,1,191900.0
2024-04-13,2,175800.0
2024-04-13,3,143900.0
2024-04-13,4,112300.0
2024-04-14,1,192200.0
2024-04-14,2,176100.0
2024-04-14,3,144200.0
2024-04-14,4,112400.0
2024-04-15,1,192000.0
2024-04-15,2,175800.0
2024-04-15,3,144000.0
2024-04-15,4,112300.0
2024-04-16,1,192200.0
2024-04-16,2,176100.0
2024-04-16,3,144200.0
2024-04-16,4,112400.0
2024-04-17,1,192400.0
2024-04-17,2,176300.0
2024-04-17,3,144300.0
2024-04-17,4,112600.0
2024-04-18,1,192300.0
2024-04-18,2,176100.0
2024-04-18,3,144200.0
2024-04-18,4,112500.0
2024-04-19,1,192100.0
2024-04-19,2,175900.0
2024-04-19,3,144000.0
2024-04-19,4,112400.0
2024-04-20,1,192000.0
2024-04-20,2,175900.0
2024-04-20,3,144000.0
2024-04-20,4,112300.0
2024-04-21,1,191300.0
2024-04-21,2,175200.0
2024-04-21,3,143500.0
2024-04-21,4,111900.0
2024-04-22,1,190900.0
2024-04-22,2,174900.0
2024-04-22,3,143200.0
2024-04-22,4,111700.0
2024-04-23,1,190600.0
2024-04-23,2,174500.0
2024-04-23,3,142900.0
2024-04-23,4,111500.0
2024-04-24,1,191100.0
2024-04-24,2,175000.0
2024-04-24,3,143300.0
2024-04-24,4,111800.0
2024-04-25,1,191000.0
2024-04-25,2,175000.0
2024-04-25,3,143300.0
2024-04-25,4,111800.0
2024-04-26,1,191700.0
2024-04-26,2,175600.0
2024-04-26,3,143800.0
2024-04-26,4,112200.0
2024-04-27,1,191200.0
2024-04-27,2,175100.0
2024-04-27,3,143400.0
2024-04-27,4,111800.0
2024-04-28,1,191700.0
2024-04-28,2,175600.0
2024-04-28,3,143800.0
2024-04-28,4,112100.0
2024-04-29,1,192400.0
2024-04-29,2,176300.0
2024-04-29,3,144300.0
2024-04-29,4,112600.0
2024-04-30,1,192500.0
2024-04-30,2,176300.0
2024-04-30,3,144300.0
2024-04-30,4,112600.0
2024-05-01,1,192300.0
2024-05-01,2,176200.0
2024-05-01,3,144200.0
2024-05-01,4,112500.0
2024-05-02,1,192100.0
2024-05-02,2,175900.0
2024-05-02,3,144100.0
2024-05-02,4,112400.0
2024-05-03,1,192300.0
2024-05-03,2,176100.0
2024-05-03,3,144200.0
2024-05-03,4,112500.0
2024-05-04,1,191800.0
2024-05-04,2,175700.0
2024-05-04,3,143800.0
2024-05-04,4,112200.0
2024-05-05,1,192100.0
2024-05-05,2,175900.0
2024-05-05,3,144100.0
2024-05-05,4,112400.0
2024-05-06,1,192800.0
2024-05-06,2,176600.0
2024-05-06,3,144600.0
2024-05-06,4,112800.0
2024-05-07,1,193500.0
2024-05-07,2,177200.0
2024-05-07,3,145100.0
2024-05-07,4,113200.0
2024-05-08,1,193000.0
2024-05-08,2,176700.0
2024-05-08,3,144700.0
2024-05-08,4,112900.0
2024-05-09,1,193100.0
2024-05-09,2,176900.0
2024-05-09,3,144800.0
2024-05-09,4,113000.0
2024-05-10,1,192800.0
2024-05-10,2,176600.0
2024-05-10,3,144600.0
2024-05-10,4,112800.0
2024-05-11,1,193600.0
2024-05-11,2,177300.0
2024-05-11,3,145200.0
2024-05-11,4,113200.0
2024-05-12,1,192900.0
2024-05-12,2,176700.0
2024-05-12,3,144700.0
2024-05-12,4,112900.0
2024-05-13,1,192300.0
2024-05-13,2,176100.0
