product_id,product_name,category,gold_type_id,weight_grams,making_charge,cost_price,selling_price,supplier_id
1,22K Ring 001,Ring,2,3.54,115000.0,756200.0,830500.0,16
2,22K Necklace 002,Necklace,2,25.87,358000.0,5213000.0,5937800.0,15
3,24K Bangle 003,Bangle,1,26.61,225000.0,5738800.0,6329300.0,2
4,18K Earring 004,Earring,3,4.91,95000.0,835700.0,972200.0,19
5,22K Necklace 005,Necklace,2,18.36,287000.0,3721100.0,4567700.0,20
6,22K Chain 006,Chain,2,6.72,130000.0,1378200.0,1557700.0,9
7,22K Pendant 007,Pendant,2,1.01,126000.0,276300.0,316200.0,6
8,18K Ring 008,Ring,3,5.64,127000.0,971600.0,1102300.0,3
9,14K Bangle 009,Bangle,4,30.11,166000.0,3809800.0,4557100.0,18
10,18K Necklace 010,Necklace,3,18.32,356000.0,3119100.0,3427200.0,17
11,24K Bangle 011,Bangle,1,30.55,145000.0,6514900.0,8003500.0,7
12,22K Ring 012,Ring,2,2.99,120000.0,653600.0,798800.0,16
13,18K Pendant 013,Pendant,3,6.31,37000.0,1018700.0,1138400.0,3
14,14K Ring 014,Ring,4,4.09,109000.0,573700.0,706400.0,3
15,18K Earring 015,Earring,3,1.42,97000.0,286900.0,355600.0,14
16,22K Chain 016,Chain,2,22.71,344000.0,4595500.0,5170800.0,2
17,24K Bangle 017,Bangle,1,16.21,431000.0,3687000.0,4584000.0,4
18,18K Ring 018,Ring,3,7.32,67000.0,1197400.0,1400300.0,8
19,18K Pendant 019,Pendant,3,2.61,142000.0,503700.0,579500.0,4
20,18K Chain 020,Chain,3,13.95,227000.0,2346400.0,2799500.0,4
21,18K Necklace 021,Necklace,3,25.6,302000.0,4231500.0,5043000.0,18
22,22K Pendant 022,Pendant,2,4.17,77000.0,852800.0,1064800.0,11
23,22K Chain 023,Chain,2,24.1,218000.0,4781200.0,5753700.0,20
24,22K Necklace 024,Necklace,2,14.85,406000.0,3122700.0,3864200.0,9
25,14K Bracelet 025,Bracelet,4,13.95,187000.0,1836600.0,2210300.0,10
26,24K Pendant 026,Pendant,1,2.22,164000.0,573200.0,619700.0,8
27,14K Necklace 027,Necklace,4,8.69,429000.0,1347300.0,1613100.0,9
28,22K Pendant 028,Pendant,2,6.14,116000.0,1257400.0,1378100.0,15
29,24K Bracelet 029,Bracelet,1,10.3,320000.0,2372700.0,2663300.0,9
30,22K Chain 030,Chain,2,19.26,262000.0,3878100.0,4331700.0,3
31,22K Bangle 031,Bangle,2,21.03,271000.0,4224700.0,5208400.0,19
32,14K Chain 032,Chain,4,19.88,176000.0,2558600.0,3081200.0,19
33,24K Earring 033,Earring,1,1.39,123000.0,372100.0,423900.0,14
34,14K Earring 034,Earring,4,1.84,122000.0,305500.0,368800.0,20
35,18K Ring 035,Ring,3,8.32,48000.0,1342600.0,1569700.0,11
36,22K Pendant 036,Pendant,2,3.94,135000.0,846200.0,935900.0,13
37,18K Earring 037,Earring,3,5.03,41000.0,819500.0,945200.0,13
38,24K Necklace 038,Necklace,1,10.64,329000.0,2450000.0,2666500.0,13
39,24K Bracelet 039,Bracelet,1,15.04,289000.0,3348800.0,3690900.0,5
40,22K Earring 040,Earring,2,4.42,108000.0,921100.0,1025500.0,20
41,22K Bangle 041,Bangle,2,14.54,193000.0,2924600.0,3372400.0,19
42,24K Ring 042,Ring,1,6.14,91000.0,1349600.0,1501300.0,12
43,18K Pendant 043,Pendant,3,7.93,55000.0,1285700.0,1465000.0,15
44,24K Pendant 044,Pendant,1,1.4,153000.0,393700.0,438600.0,12
45,18K Necklace 045,Necklace,3,35.29,145000.0,5656800.0,6161800.0,20
46,14K Necklace 046,Necklace,4,34.24,105000.0,4277900.0,5124700.0,4
47,22K Bracelet 047,Bracelet,2,5.45,136000.0,1137600.0,1332700.0,7
48,22K Pendant 048,Pendant,2,3.33,102000.0,707400.0,851800.0,5
49,18K Bangle 049,Bangle,3,8.5,304000.0,1537400.0,1833800.0,2
50,24K Bracelet 050,Bracelet,1,10.68,293000.0,2435000.0,2885600.0,2
51,18K Earring 051,Earring,3,1.06,77000.0,217100.0,244500.0,12
52,24K Chain 052,Chain,1,12.31,363000.0,2823100.0,3234500.0,13
53,14K Pendant 053,Pendant,4,1.9,77000.0,283600.0,348100.0,18
54,24K Ring 054,Ring,1,7.01,104000.0,1540900.0,1906800.0,1
55,22K Ring 055,Ring,2,7.29,87000.0,1460000.0,1674400.0,6
56,22K Ring 056,Ring,2,5.52,128000.0,1145900.0,1283600.0,17
57,18K Bracelet 057,Bracelet,3,17.52,317000.0,2967600.0,3654200.0,1
58,14K Pendant 058,Pendant,4,3.03,81000.0,425200.0,487600.0,5
59,18K Ring 059,Ring,3,7.21,135000.0,1224200.0,1503800.0,8
60,22K Earring 060,Earring,2,2.07,146000.0,493400.0,609200.0,11
61,22K Earring 061,Earring,2,2.45,47000.0,502200.0,588600.0,7
62,24K Chain 062,Chain,1,22.21,368000.0,4907000.0,6058300.0,14
63,24K Chain 063,Chain,1,28.33,373000.0,6196500.0,7026700.0,18
64,14K Pendant 064,Pendant,4,2.07,78000.0,305200.0,375300.0,1
65,22K Chain 065,Chain,2,29.32,388000.0,5896600.0,6672400.0,9
66,18K Necklace 066,Necklace,3,11.42,174000.0,1913200.0,2314200.0,20
67,22K Pendant 067,Pendant,2,6.1,65000.0,1216600.0,1361900.0,1
68,24K Bracelet 068,Bracelet,1,20.6,116000.0,4404900.0,5390900.0,16
69,18K Bangle 069,Bangle,3,12.97,236000.0,2197800.0,2550700.0,6
70,22K Necklace 070,Necklace,2,21.07,488000.0,4373400.0,5411300.0,14
71,18K Necklace 071,Necklace,3,39.62,403000.0,6507100.0,7100800.0,15
72,18K Chain 072,Chain,3,22.2,357000.0,3731300.0,4592800.0,14
73,18K Earring 073,Earring,3,5.26,129000.0,913000.0,1097800.0,13
74,14K Pendant 074,Pendant,4,6.15,110000.0,827600.0,984000.0,2
75,24K Pendant 075,Pendant,1,5.11,162000.0,1179300.0,1449600.0,8
76,22K Pendant 076,Pendant,2,9.85,36000.0,1919600.0,2199600.0,2
77,22K Necklace 077,Necklace,2,20.74,222000.0,4137000.0,5050000.0,15
78,22K Necklace 078,Necklace,2,27.62,122000.0,5396500.0,6302500.0,5
