sale_id,customer_id,employee_id,branch_id,sale_date,payment_method,discount_amount
1,744,2,1,2024-11-03 15:30:11,Cash,0.0
2,706,12,2,2025-05-02 16:18:18,Card,341300.0
3,746,39,5,2024-01-12 18:19:02,Cash,0.0
4,831,26,4,2024-06-27 19:09:22,Cash,0.0
5,605,31,4,2025-04-28 18:42:11,Mobile Payment,0.0
6,371,39,5,2024-03-10 09:01:54,Cash,0.0
7,96,10,2,2024-06-27 15:48:26,Bank Transfer,0.0
8,842,3,1,2024-11-24 10:44:28,Card,131400.0
9,152,28,4,2024-03-29 18:01:40,Cash,0.0
10,521,40,5,2024-07-13 12:36:52,Cash,250100.0
11,415,38,5,2024-01-24 12:52:18,Cash,0.0
12,143,37,5,2025-02-12 18:03:34,Card,0.0
13,834,4,1,2025-05-20 10:51:36,Mobile Payment,0.0
14,566,13,2,2024-02-12 10:02:31,Card,0.0
15,55,15,2,2025-11-29 19:47:01,Cash,272800.0
16,315,38,5,2024-12-26 12:21:27,Cash,0.0
17,454,4,1,2024-02-28 10:03:08,Cash,0.0
18,559,2,1,2024-03-19 13:34:13,Mobile Payment,0.0
19,,6,1,2025-02-24 18:31:17,Mobile Payment,0.0
20,630,26,4,2024-01-22 16:53:02,Cash,969200.0
21,,6,1,2024-09-25 18:13:48,Bank Transfer,1088900.0
22,326,40,5,2025-03-10 18:46:36,Cash,0.0
23,53,18,3,2024-09-12 17:18:21,Bank Transfer,0.0
24,205,5,1,2025-08-05 19:20:53,Card,0.0
25,770,36,5,2025-02-22 09:37:05,Card,382200.0
26,,30,4,2024-02-12 17:45:14,Bank Transfer,0.0
27,,33,5,2025-09-06 12:22:06,Card,0.0
28,,26,4,2025-10-19 15:56:18,Cash,614500.0
29,355,19,3,2025-08-28 09:06:38,Card,0.0
30,603,15,2,2025-10-26 10:04:59,Card,0.0
31,329,40,5,2024-11-20 13:12:53,Cash,0.0
32,,30,4,2024-03-22 14:35:32,Cash,0.0
33,,12,2,2025-02-21 19:37:42,Cash,0.0
34,16,16,2,2025-10-09 12:57:11,Cash,267400.0
35,550,25,4,2025-12-07 11:04:08,Mobile Payment,0.0
36,718,1,1,2024-03-16 14:28:58,Bank Transfer,0.0
37,970,34,5,2024-06-04 09:37:37,Card,0.0
38,720,4,1,2024-10-31 16:21:03,Card,0.0
39,188,29,4,2025-08-11 18:20:06,Cash,0.0
40,,18,3,2024-08-25 19:17:09,Card,0.0
41,,36,5,2024-01-07 16:53:52,Cash,0.0
42,918,32,4,2024-09-26 10:55:08,Cash,70300.0
43,95,21,3,2025-04-09 19:47:32,Bank Transfer,0.0
44,720,20,3,2025-07-25 19:53:56,Bank Transfer,414700.0
45,110,27,4,2025-05-23 13:08:12,Mobile Payment,0.0
46,198,36,5,2025-10-15 14:30:33,Mobile Payment,0.0
47,215,23,3,2025-04-02 14:15:42,Card,108300.0
48,226,31,4,2025-12-04 12:01:18,Mobile Payment,0.0
49,69,29,4,2024-02-25 13:31:46,Cash,0.0
50,32,6,1,2024-05-12 18:34:01,Mobile Payment,0.0
51,518,4,1,2025-01-05 17:12:10,Mobile Payment,198500.0
52,817,1,1,2024-01-21 17:06:32,Cash,34000.0
53,293,7,1,2025-11-02 15:08:52,Mobile Payment,0.0
54,956,3,1,2024-04-07 18:50:25,Mobile Payment,0.0
55,522,40,5,2025-01-20 13:27:05,Card,0.0
56,30,30,4,2025-07-13 10:28:14,Cash,30400.0
57,667,2,1,2025-07-28 11:13:55,Cash,0.0
58,214,8,1,2024-09-15 15:19:47,Cash,0.0
59,886,14,2,2025-04-17 16:32:35,Cash,65600.0
60,210,12,2,2025-03-24 10:02:56,Bank Transfer,0.0
61,338,18,3,2025-03-21 13:46:59,Card,0.0
62,894,21,3,2025-04-28 16:13:59,Bank Transfer,518500.0
63,,10,2,2025-07-04 16:21:06,Card,28700.0
64,852,13,2,2024-10-18 15:37:46,Mobile Payment,0.0
65,369,39,5,2024-12-04 18:49:54,Mobile Payment,0.0
66,82,11,2,2024-06-17 16:55:00,Cash,0.0
67,105,32,4,2024-12-29 13:53:33,Mobile Payment,0.0
68,566,19,3,2024-01-26 14:54:29,Bank Transfer,121900.0
69,,4,1,2025-03-28 14:33:12,Cash,130400.0
70,791,24,3,2025-02-11 09:44:45,Cash,0.0
71,253,34,5,2024-02-09 14:01:39,Bank Transfer,227900.0
72,968,6,1,2024-04-09 17:17:54,Bank Transfer,0.0
73,65,17,3,2025-11-11 15:26:53,Cash,346000.0
74,,9,2,2024-11-14 13:35:22,Card,290500.0
75,273,4,1,2025-10-15 14:29:05,Cash,0.0
76,437,28,4,2024-07-11 13:56:12,Cash,47500.0
77,347,27,4,2024-02-07 18:24:09,Mobile Payment,0.0
78,40,18,3,2025-06-09 12:16:13,Mobile Payment,146500.0
79,10,33,5,2024-11-26 10:40:22,Cash,0.0
80,,19,3,2025-04-23 17:11:48,Mobile Payment,0.0
81,388,13,2,2025-01-17 18:21:30,Cash,0.0
82,66,36,5,2025-08-04 11:08:42,Mobile Payment,11100.0
83,312,12,2,2024-06-25 13:19:05,Card,0.0
84,297,28,4,2025-04-28 19:24:53,Mobile Payment,0.0
85,365,21,3,2025-11-21 15:38:25,Card,0.0
86,68,7,1,2024-03-20 19:14:08,Cash,53600.0
87,722,25,4,2024-09-24 15:11:10,Mobile Payment,0.0
88,681,25,4,2024-06-13 14:08:36,Cash,0.0
89,139,30,4,2025-04-29 14:54:34,Mobile Payment,0.0
90,818,2,1,2025-05-16 16:23:03,Cash,214100.0
91,,25,4,2025-04-02 14:19:40,Cash,0.0
92,945,29,4,2024-12-19 16:44:39,Mobile Payment,0.0
93,361,7,1,2025-06-08 10:21:59,Card,201100.0
94,962,4,1,2025-08-07 13:19:39,Mobile Payment,0.0
95,215,13,2,2025-05-28 19:02:38,Bank Transfer,0.0
96,271,21,3,2025-04-18 18:50:40,Cash,0.0
97,402,38,5,2025-07-08 15:30:59,Cash,0.0
98,,35,5,2025-11-20 15:16:25,Mobile Payment,259300.0
99,386,31,4,2024-01-24 13:35:47,Cash,18100.0
100,586,5,1,2024-07-01 11:49:49,Card,171100.0
101,481,6,1,2025-05-29 17:34:25,Card,0.0
102,467,6,1,2025-04-20 19:11:43,Card,0.0
103,366,10,2,2025-09-05 18:46:26,Bank Transfer,37700.0
104,267,28,4,2024-06-14 16:23:46,Card,0.0
105,849,40,5,2024-09-04 11:29:32,Mobile Payment,0.0
106,892,26,4,2025-03-03 13:56:45,Mobile Payment,0.0
107,991,6,1,2025-02-13 17:40:41,Cash,0.0
108,999,14,2,2025-02-26 19:21:09,Card,0.0
109,616,28,4,2024-09-23 14:18:44,Bank Transfer,0.0
110,656,21,3,2024-06-11 18:40:19,Bank Transfer,0.0
111,382,9,2,2024-08-04 18:19:09,Cash,227100.0
112,752,14,2,2025-06-19 14:24:55,Cash,0.0
113,871,6,1,2024-08-18 13:13:14,Mobile Payment,0.0
114,152,36,5,2024-07-26 14:42:02,Mobile Payment,0.0
115,972,1,1,2025-04-02 18:33:15,Bank Transfer,0.0
116,,4,1,2024-03-06 11:33:19,Cash,0.0
117,833,16,2,2024-04-29 16:05:30,Card,0.0
118,841,16,2,2024-01-01 13:48:26,Bank Transfer,360300.0
119,597,14,2,2024-10-08 19:35:32,Cash,117500.0
120,225,18,3,2025-03-29 14:40:43,Cash,138700.0
121,176,5,1,2025-09-16 12:36:43,Cash,87700.0
122,423,31,4,2024-10-02 12:59:16,Cash,234100.0
123,174,25,4,2025-02-17 09:26:22,Mobile Payment,333000.0
124,159,20,3,2024-08-08 18:32:28,Cash,0.0
125,608,7,1,2025-12-05 16:15:17,Cash,0.0
126,231,8,1,2024-05-17 10:20:49,Mobile Payment,0.0
127,903,37,5,2025-12-07 09:08:49,Mobile Payment,0.0
128,788,30,4,2024-12-07 12:43:45,Bank Transfer,0.0
129,40,1,1,2025-06-08 14:01:36,Mobile Payment,129300.0
130,841,34,5,2025-08-10 16:39:41,Cash,374400.0
131,347,24,3,2025-06-24 15:56:01,Cash,0.0
132,985,24,3,2025-10-31 19:12:49,Cash,0.0
133,338,38,5,2024-03-11 14:55:20,Cash,0.0
134,,3,1,2025-03-26 10:53:24,Mobile Payment,785200.0
135,532,34,5,2024-06-15 12:07:31,Bank Transfer,0.0
136,,29,4,2025-06-04 10:29:01,Mobile Payment,0.0
137,673,29,4,2024-08-22 10:41:41,Cash,0.0
138,193,22,3,2025-09-24 15:52:10,Mobile Payment,273200.0
139,855,15,2,2024-02-17 17:24:48,Cash,0.0
140,165,8,1,2025-04-20 15:54:57,Mobile Payment,0.0
141,239,34,5,2025-05-04 16:47:53,Cash,37100.0
142,426,34,5,2024-09-12 12:16:11,Cash,0.0
143,,4,1,2024-07-05 09:09:40,Mobile Payment,0.0
144,536,15,2,2025-04-07 12:29:39,Cash,0.0
145,,22,3,2025-05-14 17:29:42,Mobile Payment,155800.0
146,518,2,1,2025-07-17 13:08:55,Card,0.0
147,613,9,2,2025-06-29 14:34:14,Cash,95200.0
148,766,15,2,2024-07-26 13:03:25,Mobile Payment,0.0
149,265,34,5,2024-03-01 15:08:09,Mobile Payment,0.0
150,,4,1,2024-10-09 11:57:25,Bank Transfer,0.0
151,774,40,5,2024-08-25 19:28:19,Bank Transfer,0.0
152,747,17,3,2025-01-25 13:07:40,Cash,0.0
153,446,20,3,2025-11-11 16:53:44,Cash,0.0
154,107,38,5,2025-03-05 19:53:16,Cash,0.0
155,48,31,4,2025-09-13 17:55:59,Bank Transfer,0.0
156,583,39,5,2025-02-07 09:22:41,Card,0.0
157,118,4,1,2025-08-03 11:01:40,Cash,24700.0
158,,22,3,2024-09-11 13:28:50,Card,853600.0
159,,14,2,2024-11-09 10:58:46,Card,0.0
160,460,19,3,2024-06-21 14:01:07,Mobile Payment,173100.0
161,548,39,5,2024-09-26 11:45:21,Cash,202000.0
162,,4,1,2025-07-15 11:42:17,Cash,422200.0
163,239,40,5,2025-03-25 15:35:35,Card,243000.0
164,,14,2,2025-07-07 14:04:44,Mobile Payment,542400.0
