supplier_id,supplier_name,city,phone
1,Jacobson-Baker Jewelry Supply,Pathein,09703319400
2,"Stephens, Lopez and Mcclure Jewelry Supply",Pathein,09794839215
3,Lopez-Williams Jewelry Supply,Mawlamyine,09648598641
4,Marshall-Perez Jewelry Supply,Pathein,09847462287
5,Elliott-Hernandez Jewelry Supply,Naypyidaw,09150444260
6,"Contreras, Miller and Cooper Jewelry Supply",Taunggyi,09946228305
7,"Gutierrez, Avila and Perez Jewelry Supply",Bago,09692839277
8,Randall PLC Jewelry Supply,Yangon,
9,Sheppard-Mcdaniel Jewelry Supply,Naypyidaw,09938511718
10,Armstrong-Young Jewelry Supply,Pathein,09991187981
11,Miller-Orr Jewelry Supply,Mandalay,09856589701
12,"Johnson, Duncan and Black Jewelry Supply",Bago,09910790724
13,"Byrd, Oliver and Martinez Jewelry Supply",Mawlamyine,09747881832
14,Thompson-Joyce Jewelry Supply,Mandalay,09307766587
15,Stokes and Sons Jewelry Supply,Naypyidaw,09832999366
16,Henderson Ltd Jewelry Supply,Yangon,09286611097
17,Harris-Carson Jewelry Supply,Bago,09505013519
18,Flowers LLC Jewelry Supply,Yangon,09697643222
19,Bartlett-Sloan Jewelry Supply,Naypyidaw,09727050254
20,Miller PLC Jewelry Supply,Pathein,09454939091
